"transcript","label"
"We’ve used something similar before, and it didn’t quite work out.","0"
"Hi John, thanks for reaching out. We offer three pricing tiers. Do you mind if I walk you through them?","1"
"That's great to hear. I’ll send over the agreement and we can get started this week!","1"
"We can offer a discount for the annual plan if you’re ready to move forward.","1"
"That sounds like a great use case. Let me show you a similar customer story.","1"
"Well, I’m not really sure if we need this right now. It seems a bit expensive.","0"
"We’ve used something similar before, and it didn’t quite work out.","0"
"Hi John, thanks for reaching out. We offer three pricing tiers. Do you mind if I walk you through them?","1"
"Sorry, I have another meeting. Can you email me the proposal?","0"
"We already have a vendor and our contract doesn’t end until next year.","0"
"Well, I’m not really sure if we need this right now. It seems a bit expensive.","0"
"Well, I’m not really sure if we need this right now. It seems a bit expensive.","0"
"Happy to get this finalized by Friday if that works on your end.","1"
"Honestly, we were just browsing. We don’t have the budget at the moment.","0"
"We can offer a discount for the annual plan if you’re ready to move forward.","1"
"Well, I’m not really sure if we need this right now. It seems a bit expensive.","0"
"This seems complicated. Do you have something simpler or cheaper?","0"
"Absolutely, the onboarding process is very simple. Most customers are fully set up within 3 days.","1"
"Sorry, I have another meeting. Can you email me the proposal?","0"
"We’ve used something similar before, and it didn’t quite work out.","0"
"Thanks, but we’re not currently looking to make a switch.","0"
"That sounds like a great use case. Let me show you a similar customer story.","1"
"We can offer a discount for the annual plan if you’re ready to move forward.","1"
"If we set up a pilot, would you be open to reviewing results together next week?","1"
"Many of our clients in your industry have seen results within a month.","1"
"We already have a vendor and our contract doesn’t end until next year.","0"
"That sounds like a great use case. Let me show you a similar customer story.","1"
"This seems complicated. Do you have something simpler or cheaper?","0"
"I see. And what kind of ROI are you hoping to get out of a solution like this?","1"
"I understand. Just to confirm, you’d be the final decision maker on this?","1"
"Happy to get this finalized by Friday if that works on your end.","1"
"I understand. Just to confirm, you’d be the final decision maker on this?","1"
"We’re cutting costs this quarter, so not looking to add new tools.","0"
"Happy to get this finalized by Friday if that works on your end.","1"
"Many of our clients in your industry have seen results within a month.","1"
"Can you follow up in Q4? We might revisit this then.","0"
"Hi John, thanks for reaching out. We offer three pricing tiers. Do you mind if I walk you through them?","1"
"Honestly, we were just browsing. We don’t have the budget at the moment.","0"
"We’re cutting costs this quarter, so not looking to add new tools.","0"
"Well, I’m not really sure if we need this right now. It seems a bit expensive.","0"
"Happy to get this finalized by Friday if that works on your end.","1"
"I understand. Just to confirm, you’d be the final decision maker on this?","1"
